SNo;Город;Регион;Федеральный округ;Население
;;;;
1;Адыгейск;Адыгея;Южный;12248
2;Майкоп;Адыгея;Южный;144246
3;Горно-Алтайск;Алтай;Сибирский;56928
4;Алейск;Алтайский край;Сибирский;29512
5;Барнаул;Алтайский край;Сибирский;612091
6;Белокуриха;Алтайский край;Сибирский;14660
7;Бийск;Алтайский край;Сибирский;210055
8;Горняк;Алтайский край;Сибирский;13924
9;Заринск;Алтайский край;Сибирский;48456
10;Змеиногорск;Алтайский край;Сибирский;10955
11;Камень-на-Оби;Алтайский край;Сибирский;43880
12;Новоалтайск;Алтайский край;Сибирский;70438
13;Рубцовск;Алтайский край;Сибирский;147008
14;Славгород;Алтайский край;Сибирский;32390
15;Яровое;Алтайский край;Сибирский;18605
16;Белогорск;Амурская область;Дальневосточный;68220
17;Благовещенск;Амурская область;Дальневосточный;214397
18;Завитинск;Амурская область;Дальневосточный;11481
19;Зея;Амурская область;Дальневосточный;25042
20;Райчихинск;Амурская область;Дальневосточный;20499
21;Свободный;Амурская область;Дальневосточный;58594
22;Сковородино;Амурская область;Дальневосточный;9561
23;Тында;Амурская область;Дальневосточный;35574
24;Шимановск;Амурская область;Дальневосточный;19815
25;Архангельск;Архангельская область;Северо-Западный;348716
26;Вельск;Архангельская область;Северо-Западный;23885
27;Каргополь;Архангельская область;Северо-Западный;10148
28;Коряжма;Архангельская область;Северо-Западный;39629
29;Котлас;Архангельская область;Северо-Западный;60562
30;Мезень;Архангельская область;Северо-Западный;3599
31;Мирный;Архангельская область;Северо-Западный;30259
32;Новодвинск;Архангельская область;Северо-Западный;40612
33;Няндома;Архангельская область;Северо-Западный;22354
34;Онега;Архангельская область;Северо-Западный;21359
35;Северодвинск;Архангельская область;Северо-Западный;192265
36;Сольвычегодск;Архангельская область;Северо-Западный;2460
37;Шенкурск;Архангельская область;Северо-Западный;5702
38;Астрахань;Астраханская область;Южный;520662
39;Ахтубинск;Астраханская область;Южный;41898
40;Знаменск;Астраханская область;Южный;29357
41;Камызяк;Астраханская область;Южный;16291
42;Нариманов;Астраханская область;Южный;11386
43;Харабали;Астраханская область;Южный;18209
44;Агидель;Башкортостан;Приволжский;16365
45;Баймак;Башкортостан;Приволжский;17710
46;Белебей;Башкортостан;Приволжский;60183
47;Белорецк;Башкортостан;Приволжский;68804
48;Бирск;Башкортостан;Приволжский;41637
49;Благовещенск;Башкортостан;Приволжский;34246
50;Давлеканово;Башкортостан;Приволжский;24040
51;Дюртюли;Башкортостан;Приволжский;31272
52;Ишимбай;Башкортостан;Приволжский;66259
53;Кумертау;Башкортостан;Приволжский;62854
54;Межгорье;Башкортостан;Приволжский;17353
55;Мелеуз;Башкортостан;Приволжский;61408
56;Нефтекамск;Башкортостан;Приволжский;121757
57;Октябрьский;Башкортостан;Приволжский;109379
58;Салават;Башкортостан;Приволжский;156085
59;Сибай;Башкортостан;Приволжский;62732
60;Стерлитамак;Башкортостан;Приволжский;273432
61;Туймазы;Башкортостан;Приволжский;66849
62;Уфа;Башкортостан;Приволжский;1062300
63;Учалы;Башкортостан;Приволжский;37771
64;Янаул;Башкортостан;Приволжский;26988
65;Алексеевка;Белгородская область;Центральный;39026
66;Белгород;Белгородская область;Центральный;356426
67;Бирюч;Белгородская область;Центральный;7842
68;Валуйки;Белгородская область;Центральный;35322
69;Грайворон;Белгородская область;Центральный;6234
70;Губкин;Белгородская область;Центральный;88562
71;Короча;Белгородская область;Центральный;5877
72;Новый Оскол;Белгородская область;Центральный;19530
73;Старый Оскол;Белгородская область;Центральный;221163
74;Строитель;Белгородская область;Центральный;23933
75;Шебекино;Белгородская область;Центральный;44277
76;Брянск;Брянская область;Центральный;415640
77;Дятьково;Брянская область;Центральный;29438
78;Жуковка;Брянская область;Центральный;18269
79;Злынка;Брянская область;Центральный;5507
80;Карачев;Брянская область;Центральный;19715
81;Клинцы;Брянская область;Центральный;62510
82;Мглин;Брянская область;Центральный;7916
83;Новозыбков;Брянская область;Центральный;40552
84;Почеп;Брянская область;Центральный;17933
85;Севск;Брянская область;Центральный;7282
86;Сельцо;Брянская область;Центральный;17933
87;Стародуб;Брянская область;Центральный;19010
88;Сураж;Брянская область;Центральный;11640
89;Трубчевск;Брянская область;Центральный;15014
90;Унеча;Брянская область;Центральный;26196
91;Фокино;Брянская область;Центральный;13874
92;Бабушкин;Бурятия;Сибирский;4839
93;Гусиноозёрск;Бурятия;Сибирский;24603
94;Закаменск;Бурятия;Сибирский;11530
95;Кяхта;Бурятия;Сибирский;20041
96;Северобайкальск;Бурятия;Сибирский;24935
97;Улан-Удэ;Бурятия;Сибирский;404357
98;Александров;Владимирская область;Центральный;61544
99;Владимир;Владимирская область;Центральный;348256
100;Вязники;Владимирская область;Центральный;41252
101;Гороховец;Владимирская область;Центральный;14015
102;Гусь-Хрустальный;Владимирская область;Центральный;60773
103;Камешково;Владимирская область;Центральный;13113
104;Карабаново;Владимирская область;Центральный;14868
105;Киржач;Владимирская область;Центральный;30044
106;Ковров;Владимирская область;Центральный;145492
107;Кольчугино;Владимирская область;Центральный;45804
108;Костерёво;Владимирская область;Центральный;9136
109;Курлово;Владимирская область;Центральный;6791
110;Лакинск;Владимирская область;Центральный;15707
111;Меленки;Владимирская область;Центральный;15208
112;Муром;Владимирская область;Центральный;116078
113;Петушки;Владимирская область;Центральный;15167
114;Покров;Владимирская область;Центральный;17762
115;Радужный;Владимирская область;Центральный;18212
116;Собинка;Владимирская область;Центральный;19482
117;Струнино;Владимирская область;Центральный;14372
118;Судогда;Владимирская область;Центральный;11848
119;Суздаль;Владимирская область;Центральный;10535
120;Юрьев-Польский;Владимирская область;Центральный;19588
121;Волгоград;Волгоградская область;Южный;1021244
122;Волжский;Волгоградская область;Южный;314436
123;Дубовка;Волгоградская область;Южный;14345
124;Жирновск;Волгоградская область;Южный;16890
125;Калач-на-Дону;Волгоградская область;Южный;26892
126;Камышин;Волгоградская область;Южный;119924
127;Котельниково;Волгоградская область;Южный;20441
128;Котово;Волгоградская область;Южный;24104
129;Краснослободск;Волгоградская область;Южный;16007
130;Ленинск;Волгоградская область;Южный;15527
131;Михайловка;Волгоградская область;Южный;59153
132;Николаевск;Волгоградская область;Южный;15081
133;Новоаннинский;Волгоградская область;Южный;17911
134;Палласовка;Волгоградская область;Южный;15984
135;Петров Вал;Волгоградская область;Южный;13264
136;Серафимович;Волгоградская область;Южный;9368
137;Суровикино;Волгоградская область;Южный;20527
138;Урюпинск;Волгоградская область;Южный;41594
139;Фролово;Волгоградская область;Южный;39489
